i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,steps,tools,untrusted_fraction,seconds,error
159146,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,4,"classify_flow,classify_flow,aggregate_classifiers",0.1919,14.9,
77574,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.186,17.7,
166652,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1983,14.2,
6682,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,5,"classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.1817,18.5,
148265,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1973,14.7,
33886,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,3,"classify_flow,aggregate_classifiers",0.2087,11.3,
163221,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.192,14.6,
167566,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,4,"classify_flow,classify_flow,aggregate_classifiers",0.1927,15.3,
4781,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,4,"classify_flow,classify_flow,aggregate_classifiers",0.1964,14.9,
58226,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,True,True,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1806,18.6,
15782,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,4,"classify_flow,aggregate_classifiers,search_memory",0.2896,14.9,
77130,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.2012,13.8,
80885,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.197,14.4,
24870,DDoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1803,19.2,
1291,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,True,True,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,5,"classify_flow,classify_flow,search_memory,aggregate_classifiers",0.2793,18.1,
129661,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1865,17.5,
102956,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,4,"classify_flow,classify_flow,aggregate_classifiers",0.197,14.4,
49888,DNS Spoofing,DNS Spoofing,DNS Spoofing,True,True,DNS Spoofing,DNS Spoofing,DNS Spoofing,DNS Spoofing,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1903,17.3,
119617,DNS Spoofing,Recon-OS Scan,Recon-OS Scan,True,True,Benign,Recon-OS Scan,Vulnerability Scan,Recon-OS Scan,4,"classify_flow,classify_flow,aggregate_classifiers",0.1907,15.0,
74558,Dictionary Brute Force,Backdoor Malware,Backdoor Malware,True,True,Benign,Backdoor Malware,Benign,Backdoor Malware,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1888,17.6,
88866,Dictionary Brute Force,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1826,18.2,
189545,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1902,15.0,
154933,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1924,15.0,
131864,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DDoS-SYN Flood,DoS-SYN Flood,4,"classify_flow,classify_flow,classify_flow",0.2007,15.0,
183458,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,4,"classify_flow,classify_flow,classify_flow",0.1998,15.4,
161556,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,5,"classify_flow,classify_flow,search_memory,aggregate_classifiers",0.2767,18.3,
133347,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DoS-TCP Flood,DDoS-TCP Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1833,18.2,
168777,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1883,17.7,
75734,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.2011,13.8,
110976,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1848,17.8,
138715,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.184,18.0,
70863,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,5,"classify_flow,classify_flow,classify_flow,search_memory,aggregate_classifiers",0.2571,21.7,
99659,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1859,17.6,
83337,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1988,14.3,
94924,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,4,"classify_flow,classify_flow,aggregate_classifiers",0.1989,14.2,
172923,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain (attack),True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,5,"classify_flow,classify_flow,search_memory,aggregate_classifiers",0.277,18.3,
13702,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1801,19.1,
101937,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-OS Scan,Recon-Host Discovery,4,"classify_flow,classify_flow,aggregate_classifiers",0.1927,14.8,
67709,Recon-Host Discovery,Dictionary Brute Force,Dictionary Brute Force,True,True,Dictionary Brute Force,Dictionary Brute Force,DNS Spoofing,Dictionary Brute Force,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.1645,22.1,
48865,Recon-OS Scan,Recon-Port Scan,Recon-Port Scan,True,True,Benign,Recon-Port Scan,Benign,Recon-Port Scan,4,"classify_flow,classify_flow,aggregate_classifiers",0.1944,14.7,
110772,Recon-OS Scan,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,4,"classify_flow,classify_flow,aggregate_classifiers",0.1941,14.5,
142965,Recon-Ping Sweep,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,5,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2797,17.5,
117497,Recon-Ping Sweep,Recon-Ping Sweep,Recon-Ping Sweep,True,True,Recon-Ping Sweep,Recon-Ping Sweep,MITM-ARP Spoofing,Recon-Ping Sweep,4,"classify_flow,classify_flow,aggregate_classifiers",0.192,15.3,
144958,Recon-Port Scan,Recon-Port Scan,Recon-Port Scan,True,True,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,Recon-Port Scan,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1802,17.8,
63406,Recon-Port Scan,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,Dictionary Brute Force,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,4,"classify_flow,classify_flow,aggregate_classifiers",0.1957,14.4,
172267,SQL Injection,SQL Injection,SQL Injection (attack),True,True,SQL Injection,SQL Injection,SQL Injection,SQL Injection,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1801,18.9,
62537,SQL Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.1685,21.5,
47437,Uploading Attack,Vulnerability Scan,Vulnerability Scan,True,True,SQL Injection,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,5,"classify_flow,classify_flow,search_memory,aggregate_classifiers",0.2767,18.4,
138593,Uploading Attack,Command Injection,Command Injection (attack),True,True,Command Injection,Command Injection,MITM-ARP Spoofing,Command Injection,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1765,18.8,
17517,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1858,17.6,
10667,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan (attack),True,True,Vulnerability Scan,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,4,"classify_flow,classify_flow,aggregate_classifiers",0.1986,13.8,
157064,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Benign,Vulnerability Scan,4,"classify_flow,classify_flow,aggregate_classifiers",0.1904,15.0,
75723,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Recon-Host Discovery,Vulnerability Scan,Benign,Vulnerability Scan,5,"classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.1816,17.8,
