config,i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,n_classify_calls,steps,tools,untrusted_fraction,seconds,error
with_aggregation,140491,DDoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1893,71.6,
with_aggregation,121874,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1938,67.4,
with_aggregation,180792,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2006,60.5,
with_aggregation,108796,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.206,54.9,
with_aggregation,131715,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1851,75.5,
with_aggregation,159146,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1949,64.3,
with_aggregation,77574,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1999,65.6,
with_aggregation,166652,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2036,56.6,
with_aggregation,6682,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1986,61.9,
with_aggregation,148265,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2017,73.4,
with_aggregation,33886,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2015,48.7,
with_aggregation,163221,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1899,69.7,
with_aggregation,167566,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1909,71.5,
with_aggregation,4781,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2048,54.2,
with_aggregation,58226,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,True,True,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2005,52.6,
with_aggregation,15782,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1911,86.4,
with_aggregation,77130,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2058,51.1,
with_aggregation,80885,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1838,75.8,
with_aggregation,24870,DDoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1976,86.2,
with_aggregation,1291,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,True,True,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2082,54.4,
with_aggregation,129661,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1923,66.7,
with_aggregation,102956,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2002,60.2,
with_aggregation,49888,DNS Spoofing,DNS Spoofing,DNS Spoofing,True,True,DNS Spoofing,DNS Spoofing,DNS Spoofing,DNS Spoofing,3,4,"classify_flow,classify_flow,classify_flow",0.2067,64.3,
with_aggregation,119617,DNS Spoofing,Recon-OS Scan,Recon-OS Scan,True,True,Benign,Recon-OS Scan,Vulnerability Scan,Recon-OS Scan,3,5,"classify_flow,aggregate_classifiers,search_memory,classify_flow,classify_flow",0.2198,121.7,
with_aggregation,74558,Dictionary Brute Force,Backdoor Malware,Backdoor Malware,True,True,Benign,Backdoor Malware,Benign,Backdoor Malware,2,4,"classify_flow,aggregate_classifiers,classify_flow",0.188,76.4,
with_aggregation,88866,Dictionary Brute Force,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1883,70.9,
with_aggregation,189545,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1898,77.6,
with_aggregation,154933,DoS-HTTP Flood,DDoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1881,71.7,
with_aggregation,131864,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DDoS-SYN Flood,DoS-SYN Flood,3,5,"classify_flow,classify_flow,aggregate_classifiers,classify_flow,aggregate_classifiers",0.1649,91.4,
with_aggregation,183458,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1988,56.1,
with_aggregation,161556,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2009,58.0,
with_aggregation,133347,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DoS-TCP Flood,DDoS-TCP Flood,3,5,"classify_flow,classify_flow,aggregate_classifiers,classify_flow",0.1783,91.7,
with_aggregation,168777,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2014,58.3,
with_aggregation,75734,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2086,62.8,
with_aggregation,110976,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2023,54.5,
with_aggregation,138715,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1928,62.3,
with_aggregation,70863,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1847,70.0,
with_aggregation,99659,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2005,64.6,
with_aggregation,83337,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2042,53.5,
with_aggregation,94924,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1924,72.2,
with_aggregation,172923,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2015,61.3,
with_aggregation,13702,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2028,55.9,
with_aggregation,101937,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-OS Scan,Recon-Host Discovery,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1885,72.0,
with_aggregation,67709,Recon-Host Discovery,Dictionary Brute Force,Dictionary Brute Force,True,True,Dictionary Brute Force,Dictionary Brute Force,DNS Spoofing,Dictionary Brute Force,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1833,74.9,
with_aggregation,48865,Recon-OS Scan,Recon-Port Scan,Recon-Port Scan,True,True,Benign,Recon-Port Scan,Benign,Recon-Port Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1933,67.1,
with_aggregation,110772,Recon-OS Scan,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1976,55.9,
with_aggregation,142965,Recon-Ping Sweep,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,2,5,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.25,81.2,
with_aggregation,117497,Recon-Ping Sweep,Recon-Ping Sweep,Recon-Ping Sweep,True,True,Recon-Ping Sweep,Recon-Ping Sweep,MITM-ARP Spoofing,Recon-Ping Sweep,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1862,75.5,
with_aggregation,144958,Recon-Port Scan,Recon-Port Scan,Recon-Port Scan,True,True,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,Recon-Port Scan,2,5,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2412,104.0,
with_aggregation,63406,Recon-Port Scan,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,Dictionary Brute Force,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1899,74.0,
with_aggregation,172267,SQL Injection,SQL Injection,SQL Injection,True,True,SQL Injection,SQL Injection,SQL Injection,SQL Injection,3,5,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.1919,63.9,
with_aggregation,62537,SQL Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1905,68.6,
with_aggregation,47437,Uploading Attack,Vulnerability Scan,Vulnerability Scan,True,True,SQL Injection,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1903,65.0,
with_aggregation,138593,Uploading Attack,Command Injection,Command Injection,True,True,Command Injection,Command Injection,MITM-ARP Spoofing,Command Injection,2,5,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2307,113.3,
with_aggregation,17517,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.2008,54.5,
with_aggregation,10667,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,2,4,"classify_flow,classify_flow,aggregate_classifiers",0.1988,59.1,
with_aggregation,157064,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Benign,Vulnerability Scan,2,5,"classify_flow,classify_flow,aggregate_classifiers,aggregate_classifiers",0.1673,89.9,
with_aggregation,75723,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Recon-Host Discovery,Vulnerability Scan,Benign,Vulnerability Scan,3,5,"classify_flow,classify_flow,aggregate_classifiers,classify_flow",0.1787,80.2,
