config,i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,n_classify_calls,steps,tools,untrusted_fraction,seconds,error
no_aggregation,102956,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,2,3,"classify_flow,classify_flow",0.228,54.3,
no_aggregation,49888,DNS Spoofing,DNS Spoofing,DNS Spoofing,True,True,DNS Spoofing,DNS Spoofing,DNS Spoofing,DNS Spoofing,2,3,"classify_flow,classify_flow",0.2348,43.8,
no_aggregation,119617,DNS Spoofing,Benign,Benign,True,True,Benign,Recon-OS Scan,Vulnerability Scan,Recon-OS Scan,3,4,"classify_flow,classify_flow,classify_flow",0.1962,83.9,
no_aggregation,74558,Dictionary Brute Force,Benign,Benign,True,True,Benign,Backdoor Malware,Benign,Backdoor Malware,3,5,"classify_flow,search_memory,classify_flow,classify_flow",0.2638,96.2,
no_aggregation,88866,Dictionary Brute Force,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,3,5,"classify_flow,classify_flow,search_memory,classify_flow",0.254,95.3,
no_aggregation,189545,DoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,2,3,"classify_flow,classify_flow",0.227,58.8,
no_aggregation,154933,DoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DDoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,3,5,"classify_flow,search_memory,classify_flow,classify_flow",0.2437,114.8,
no_aggregation,131864,DoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DDoS-SYN Flood,DoS-SYN Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2012,85.9,
no_aggregation,183458,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,2,4,"classify_flow,classify_flow,search_memory",0.2822,72.5,
no_aggregation,161556,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2173,62.4,
no_aggregation,133347,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DoS-TCP Flood,DDoS-TCP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.1918,92.4,
no_aggregation,168777,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,2,3,"classify_flow,classify_flow",0.2225,60.1,
no_aggregation,75734,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,2,4,"classify_flow,classify_flow,ACTION_INPUT:",0.2087,77.5,
no_aggregation,110976,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,3,5,"classify_flow,classify_flow,search_memory,classify_flow",0.2531,104.8,
no_aggregation,138715,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,3,4,"classify_flow,classify_flow,classify_flow",0.2145,61.2,
no_aggregation,70863,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2227,51.1,
no_aggregation,99659,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,3,4,"classify_flow,classify_flow,classify_flow",0.222,50.6,
no_aggregation,83337,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,2,4,"classify_flow,classify_flow,search_memory",0.2448,68.4,
no_aggregation,94924,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,3,4,"classify_flow,classify_flow,classify_flow",0.2164,58.8,
no_aggregation,172923,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,2,4,"classify_flow,classify_flow,search_memory",0.2949,52.7,
no_aggregation,13702,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,3,4,"classify_flow,classify_flow,classify_flow",0.2205,57.6,
no_aggregation,101937,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-OS Scan,Recon-Host Discovery,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2676,81.8,
no_aggregation,67709,Recon-Host Discovery,Dictionary Brute Force,Dictionary Brute Force,True,True,Dictionary Brute Force,Dictionary Brute Force,DNS Spoofing,Dictionary Brute Force,2,4,"classify_flow,classify_flow,search_memory",0.2544,59.3,
no_aggregation,48865,Recon-OS Scan,Recon-Port Scan,Recon-Port Scan,True,True,Benign,Recon-Port Scan,Benign,Recon-Port Scan,4,5,"classify_flow,classify_flow,classify_flow,classify_flow",0.1824,92.6,
no_aggregation,110772,Recon-OS Scan,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,3,4,"classify_flow,classify_flow,classify_flow",0.2104,54.5,
no_aggregation,142965,Recon-Ping Sweep,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,2,4,"classify_flow,classify_flow,search_memory",0.2859,68.0,
no_aggregation,117497,Recon-Ping Sweep,Recon-Ping Sweep,Recon-Ping Sweep,True,True,Recon-Ping Sweep,Recon-Ping Sweep,MITM-ARP Spoofing,Recon-Ping Sweep,3,4,"classify_flow,classify_flow,classify_flow",0.2011,70.9,
no_aggregation,144958,Recon-Port Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,Recon-Port Scan,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.255,93.8,
no_aggregation,63406,Recon-Port Scan,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,Dictionary Brute Force,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2651,89.0,
no_aggregation,172267,SQL Injection,SQL Injection,SQL Injection,True,True,SQL Injection,SQL Injection,SQL Injection,SQL Injection,3,4,"classify_flow,classify_flow,classify_flow",0.2093,72.5,
no_aggregation,62537,SQL Injection,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,3,4,"classify_flow,classify_flow,classify_flow",0.2096,72.0,
no_aggregation,47437,Uploading Attack,Vulnerability Scan,Vulnerability Scan,True,True,SQL Injection,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,2,5,"classify_flow,classify_flow,search_memory,search_memory",0.2491,100.8,
no_aggregation,138593,Uploading Attack,Command Injection,Command Injection,True,True,Command Injection,Command Injection,MITM-ARP Spoofing,Command Injection,3,5,"classify_flow,classify_flow,search_memory,classify_flow,search_memory",0.2455,103.1,
no_aggregation,17517,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,3,5,"classify_flow,classify_flow,classify_flow",0.192,81.5,
no_aggregation,10667,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,2,4,"classify_flow,classify_flow,search_memory",0.28,77.1,
no_aggregation,157064,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Benign,Vulnerability Scan,3,4,"classify_flow,classify_flow,classify_flow",0.1955,93.8,
no_aggregation,75723,XSS,Benign,Benign,True,True,Recon-Host Discovery,Vulnerability Scan,Benign,Vulnerability Scan,3,5,"classify_flow,classify_flow,classify_flow,search_memory",0.2233,100.3,
