config,i,truth,agent,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,aggregate,steps,n_classify_calls,tools,untrusted_fraction,seconds,error
with_aggregation,74558,Dictionary Brute Force,Backdoor Malware,True,True,Benign,Backdoor Malware,Benign,Backdoor Malware,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2252,81.7,
with_aggregation,88866,Dictionary Brute Force,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2375,66.5,
with_aggregation,189545,DoS-HTTP Flood,DDoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2257,80.6,
with_aggregation,154933,DoS-HTTP Flood,DDoS-HTTP Flood,True,True,DDoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,5,2,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2563,109.2,
with_aggregation,131864,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DDoS-SYN Flood,DoS-SYN Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.236,70.4,
with_aggregation,183458,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2417,60.7,
with_aggregation,161556,DoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2274,69.7,
with_aggregation,133347,DoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DoS-TCP Flood,DDoS-TCP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2409,62.5,
with_aggregation,168777,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2416,59.6,
with_aggregation,75734,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2264,75.4,
with_aggregation,110976,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2465,60.5,
with_aggregation,138715,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,4,2,"classify_flow,classify_flow,finalize",0.2419,78.7,
with_aggregation,70863,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2284,72.0,
with_aggregation,99659,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2388,62.0,
with_aggregation,83337,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,4,3,"classify_flow,classify_flow,classify_flow",0.2391,72.7,
with_aggregation,94924,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2155,83.1,
with_aggregation,172923,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2436,54.2,
with_aggregation,13702,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2399,56.2,
with_aggregation,101937,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-OS Scan,Recon-Host Discovery,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2387,67.8,
with_aggregation,67709,Recon-Host Discovery,Dictionary Brute Force,True,True,Dictionary Brute Force,Dictionary Brute Force,DNS Spoofing,Dictionary Brute Force,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2263,77.2,
with_aggregation,48865,Recon-OS Scan,Recon-Port Scan,True,True,Benign,Recon-Port Scan,Benign,Recon-Port Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2336,69.3,
with_aggregation,110772,Recon-OS Scan,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2475,56.3,
with_aggregation,142965,Recon-Ping Sweep,Vulnerability Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,5,3,"classify_flow,classify_flow,aggregate_classifiers,classify_flow,aggregate_classifiers",0.2059,93.8,
with_aggregation,117497,Recon-Ping Sweep,Recon-Ping Sweep,True,True,Recon-Ping Sweep,Recon-Ping Sweep,MITM-ARP Spoofing,Recon-Ping Sweep,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2374,76.8,
with_aggregation,144958,Recon-Port Scan,Recon-Port Scan,True,True,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,Recon-Port Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2472,59.4,
with_aggregation,63406,Recon-Port Scan,Dictionary Brute Force,True,True,Dictionary Brute Force,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2246,92.0,
with_aggregation,172267,SQL Injection,SQL Injection,True,True,SQL Injection,SQL Injection,SQL Injection,SQL Injection,4,3,"classify_flow,classify_flow,classify_flow",0.2568,54.8,
with_aggregation,62537,SQL Injection,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2329,80.1,
with_aggregation,47437,Uploading Attack,Vulnerability Scan,True,True,SQL Injection,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,5,2,"classify_flow,classify_flow,aggregate_classifiers,search_memory",0.2908,81.3,
with_aggregation,138593,Uploading Attack,Command Injection,True,True,Command Injection,Command Injection,MITM-ARP Spoofing,Command Injection,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2397,66.6,
with_aggregation,17517,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.2202,87.9,
with_aggregation,10667,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2438,61.7,
with_aggregation,157064,XSS,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Benign,Vulnerability Scan,5,3,"classify_flow,classify_flow,classify_flow,aggregate_classifiers",0.227,73.9,
with_aggregation,75723,XSS,Vulnerability Scan,True,True,Recon-Host Discovery,Vulnerability Scan,Benign,Vulnerability Scan,4,2,"classify_flow,classify_flow,aggregate_classifiers",0.2271,77.9,
