i,truth,agent,agent_raw,agent_ok,known_class,clf_random_forest,clf_decision_tree,clf_knn,hidden_aggregate,n_classify_calls,classifiers_consulted,steps,tools,untrusted_fraction,seconds,error
121874,DDoS-HTTP Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.2969,17.4,
180792,DDoS-ICMP Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,2,"decision_tree,random_forest",5,"classify_flow,classify_flow,search_memory,None, as I have enough information to make a final decision.",0.2774,21.9,
108796,DDoS-ICMP Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,DDoS-ICMP Flood,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3158,15.0,
131715,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2085,15.5,
159146,DDoS-ICMP Fragmentation,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,DDoS-ICMP Fragmentation,2,"decision_tree,knn",4,"classify_flow,classify_flow,search_memory",0.3171,14.6,
77574,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2101,15.0,
166652,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,True,True,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,DDoS-PSHACK Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2865,20.5,
6682,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.204,15.6,
148265,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2085,14.6,
33886,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2194,14.4,
163221,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2072,15.3,
167566,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.2821,20.5,
4781,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,True,True,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,DDoS-Slowloris,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2918,19.7,
58226,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,True,True,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SYN Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2026,15.9,
15782,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,DDoS-SynonymousIP Flood,True,True,DDoS-SynonymousIP Flood,DDoS-SYN Flood,DDoS-SYN Flood,DDoS-SynonymousIP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.1937,16.9,
77130,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,2,"decision_tree,knn",4,"classify_flow,classify_flow,search_memory",0.3039,15.8,
80885,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2132,14.6,
24870,DDoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2079,15.5,
1291,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,True,True,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,DDoS-UDP Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.293,19.1,
129661,DDoS-UDP Fragmentation,Benign,Benign,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,2,"decision_tree,random_forest",5,"classify_flow,classify_flow,search_memory",0.2902,18.3,
102956,DDoS-UDP Fragmentation,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,DDoS-UDP Fragmentation,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3131,15.1,
49888,DNS Spoofing,DNS Spoofing,DNS Spoofing,True,True,DNS Spoofing,DNS Spoofing,DNS Spoofing,DNS Spoofing,2,"decision_tree,random_forest",4,"search_memory,classify_flow,classify_flow",0.3056,15.4,
119617,DNS Spoofing,Benign,Benign,True,True,Benign,Recon-OS Scan,Vulnerability Scan,Recon-OS Scan,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2132,14.6,
74558,Dictionary Brute Force,Benign,Benign,True,True,Benign,Backdoor Malware,Benign,Backdoor Malware,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2144,14.4,
88866,Dictionary Brute Force,Recon-OS Scan,Recon-OS Scan,True,True,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2159,15.0,
189545,DoS-HTTP Flood,DoS-HTTP Flood,DoS-HTTP Flood,True,True,DoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2001,16.3,
154933,DoS-HTTP Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-HTTP Flood,DDoS-HTTP Flood,DoS-HTTP Flood,DDoS-HTTP Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.296,18.5,
131864,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DDoS-SYN Flood,DoS-SYN Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2112,15.9,
183458,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,True,True,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,DoS-SYN Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2821,20.4,
161556,DoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,DDoS-TCP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2108,14.9,
133347,DoS-TCP Flood,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,DDoS-TCP Flood,DDoS-TCP Flood,DoS-TCP Flood,DDoS-TCP Flood,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.311,15.8,
168777,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.216,14.2,
75734,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,True,True,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,DoS-UDP Flood,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3149,15.2,
110976,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2128,15.0,
138715,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,True,True,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3006,17.0,
70863,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2103,15.2,
99659,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,True,True,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,Mirai-GREETH Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.3008,18.8,
83337,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2841,19.7,
94924,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,True,True,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,Mirai-GREIP Flood,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2094,15.4,
172923,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,2,"decision_tree,knn",4,"classify_flow,classify_flow,search_memory",0.3121,16.1,
13702,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,True,True,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,Mirai-UDPPlain,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2897,19.0,
101937,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-OS Scan,Recon-Host Discovery,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.3095,15.0,
67709,Recon-Host Discovery,Dictionary Brute Force,Dictionary Brute Force,True,True,Dictionary Brute Force,Dictionary Brute Force,DNS Spoofing,Dictionary Brute Force,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2067,15.3,
48865,Recon-OS Scan,Benign,Benign,True,True,Benign,Recon-Port Scan,Benign,Recon-Port Scan,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2943,19.1,
110772,Recon-OS Scan,Recon-Host Discovery,Recon-Host Discovery,True,True,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,Recon-Host Discovery,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2117,14.5,
142965,Recon-Ping Sweep,the attack class name,the attack class name,True,False,Vulnerability Scan,Recon-OS Scan,DNS Spoofing,Recon-OS Scan,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.2952,16.6,
117497,Recon-Ping Sweep,Recon-Ping Sweep,Recon-Ping Sweep,True,True,Recon-Ping Sweep,Recon-Ping Sweep,MITM-ARP Spoofing,Recon-Ping Sweep,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2108,15.1,
144958,Recon-Port Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,Recon-Port Scan,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.298,18.6,
63406,Recon-Port Scan,DDoS-RSTFIN Flood,DDoS-RSTFIN Flood,True,True,Dictionary Brute Force,MITM-ARP Spoofing,MITM-ARP Spoofing,MITM-ARP Spoofing,2,"decision_tree,random_forest",5,"classify_flow,classify_flow,search_memory",0.2871,18.5,
172267,SQL Injection,SQL Injection,SQL Injection,True,True,SQL Injection,SQL Injection,SQL Injection,SQL Injection,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2053,15.2,
62537,SQL Injection,Recon-Port Scan,Recon-Port Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-Port Scan,Vulnerability Scan,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,search_memory,classify_flow",0.2773,20.2,
47437,Uploading Attack,Benign,Benign,True,True,SQL Injection,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.2992,16.2,
138593,Uploading Attack,the attack class name,the attack class name,True,False,Command Injection,Command Injection,MITM-ARP Spoofing,Command Injection,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.314,14.7,
17517,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan (attack),True,True,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,2,"decision_tree,random_forest",4,"classify_flow,classify_flow,search_memory",0.2952,16.6,
10667,Vulnerability Scan,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Recon-OS Scan,Vulnerability Scan,3,"decision_tree,knn,random_forest",5,"search_memory,classify_flow,classify_flow,classify_flow",0.2768,20.2,
157064,XSS,Vulnerability Scan,Vulnerability Scan,True,True,Vulnerability Scan,Vulnerability Scan,Benign,Vulnerability Scan,3,"decision_tree,knn,random_forest",4,"classify_flow,classify_flow,classify_flow",0.2052,15.1,
75723,XSS,Benign,Benign,True,True,Recon-Host Discovery,Vulnerability Scan,Benign,Vulnerability Scan,3,"decision_tree,knn,random_forest",5,"classify_flow,classify_flow,classify_flow,search_memory",0.2909,18.6,
